,Arabic Letters,English Numbers,Price
1497,ﺭﻙﻥ,50,50000
1506,ﺩﻫﻕ,1,400000
1507,ﺩﻥﻫ,1,700000
1509,ﺹﻁﺍ,777,7000
1512,ﻙﻭﻫ,4,45000
1513,ﻡﻫﻡ,476,6000
1518,ﻕﺹﺱ,666,40000
1519,ﺏﺹﺏ,1,330000
1526,ﺡﻝﻡ,11,40000
1530,ﻁﻝﻫ,1,500000
1534,ﺍﺭﻕ,6662,10000
1536,ﻙﺱﺡ,51,14000
1537,ﻝﺡﻡ,18,45000
1540,ﺩﻫﻥ,5500,7000
1546,ﺏﺩﺭ,228,40000
1549,ﺡﺭﺏ,1310,7000
1550,ﺹﺹﻙ,96,10000
1552,ﻡﺭﻭ,98,17000
1553,ﺹﺹﻉ,555,22000
1554,ﺩﻉﻝ,9000,10000
1555,ﻫﻡﺏ,7,50000
1556,ﻝﻡﻭ,32,35000
1560,ﻥﺍﺏ,666,33000
1562,ﻫﻫﺱ,400,10000
1563,ﺡﺭﺏ,2030,100000
1566,ﺭﻡﺭ,710,15000
1580,ﻡﺡﺡ,333,21000
1584,ﺏﺱﺱ,6777,5000
1586,ﺩﻙﺭ,2020,20000
1595,ﺩﻉﻝ,25,50000
1602,ﻝﺏﻝ,101,17
1603,ﻭﻥﻝ,71,6000
1604,ﺏﺏﻡ,2003,5000
1606,ﺏﺏﻕ,222,30000
1607,ﻡﺱﻡ,911,30000
1608,ﺱﺏﻉ,4055,17000
1609,ﻝﻝﻕ,86,10000
1610,ﻕﻥﻕ,7,44000
1616,ﺍﻙﻥ,1997,5000
1617,ﻭﻙﻙ,299,5000
1620,ﻥﻭﻉ,169,3500
1621,ﺩﻡﻉ,6437,6000
1624,ﺏﺹﺭ,5666,3000
1627,ﺏﻭﻉ,4664,4000
1629,ﻡﻕﺩ,19,10000
1633,ﺹﺍﻙ,777,45000
1634,ﻯﻥﺍ,300,7000
1635,ﻉﻡﺭ,789,35000
1638,ﺏﺱﺏ,8888,20000
1639,ﺏﺩﺭ,4822,3500
1644,ﺩﻁﻕ,2,38000
1649,ﺩﺭﺭ,35,6000
1651,ﻥﺡﻙ,211,5000
1652,ﻫﺍﺱ,91,25000
1655,ﺩﺩﺩ,2550,25000
1662,ﻁﻡﻁ,111,25000
1663,ﻯﺡﻉ,303,6000
1664,ﻙﺍﺩ,111,20000
1665,ﻕﻥﻡ,111,30000
1666,ﺩﻭﻁ,9998,25000
1667,ﺏﺱﻥ,10,20000
1669,ﺏﻉﻡ,2,50000
1670,ﺩﺩﻁ,333,18000
1672,ﻡﺱﻕ,666,23000
1687,ﻉﻝﻡ,92,20000
1691,ﻥﻙﻯ,7,50000
1692,ﻭﻯﻙ,42,11000
1693,ﺡﻝﻡ,504,13000
1694,ﺭﺱﻡ,96,28000
1695,ﺍﺍﺍ,7777,72000
1702,ﻭﺭﺹ,15,15499
1707,ﺏﺏﺏ,373,30000
1711,ﺱﻉﻭ,84,20
1713,ﺱﺍﻙ,888,40000
1719,ﻡﻥﺍ,608,11000
1723,ﺡﻭﻡ,4,40000
1724,ﺏﺭﻫ,4000,30000
1725,ﺡﻭﺏ,8889,20000
1726,ﺡﻥﻝ,6000,6000
1728,ﻉﻉﺭ,12,9000
1729,ﻡﻝﺡ,395,10000
1731,ﻭﺱﻉ,600,20000
1732,ﺹﻥﺹ,600,20000
1743,ﺩﺏﺏ,10,15000
1747,ﻁﻭﺱ,333,17000
1758,ﻯﻉﻡ,47,10000
1759,ﺱﺡﺭ,109,10000
1765,ﺩﻝﺭ,6565,7000
1766,ﻭﺭﺩ,771,610000
1768,ﻥﺹﺭ,375,80000
1780,ﺭﻥﻡ,222,22222
1784,ﺏﻁﻙ,9999,22000
1785,ﺏﺹﺡ,7000,5000
1793,ﻕﻫﺭ,878,45000
1795,ﻝﻫﺏ,444,45000
1802,ﺩﺩﺩ,511,80000
1809,ﻁﻕﻫ,191,4000
1810,ﻕﻯﻉ,77,12000
1820,ﻉﻫﻡ,22,13500
1822,ﻫﻝﻯ,666,100000
1833,ﻡﻝﻉ,92,5000
1837,ﺏﻭﺏ,987,7000
1850,ﻉﺩﺡ,333,8000
1860,ﻫﻭﻫ,151,10000
1869,ﻭﻫﻡ,320,25000
1871,ﺡﺭﺏ,3110,10000
1872,ﻙﻕﺡ,5,30000
1874,ﺡﺍﻭ,99,11
1875,ﻁﺏﻯ,44,15
1877,ﻡﺹﺩ,666,30000
1885,ﻫﻙﺹ,3,20000
1893,ﻭﻝﺩ,3,55000
1897,ﻉﻉﺍ,100,5000
1898,ﺹﺩﺭ,111,35000
1904,ﺡﻝﺍ,4001,10000
1916,ﺩﺩﻁ,999,6000
1921,ﺭﻡﻕ,500,13000
1923,ﺡﻡﻥ,6666,33000
1928,ﺡﻡﺩ,1333,40000
1931,ﺏﺱﺏ,3023,9000
1932,ﻝﻭﻙ,22,25000
1934,ﺭﻙﻝ,11,11000
1939,ﺏﻝﺩ,0004,10
1944,ﻭﺏﻫ,411,5000
1947,ﺍﻫﻥ,8001,16500
1948,ﻉﻁﻭ,500,20000
1951,ﻭﻁﻭ,441,4000
1952,ﺱﺏﻉ,9326,10000
1954,ﺏﺱﻝ,4448,15000
1955,ﺱﻫﻁ,666,40000
1959,ﻉﻁﺍ,811,9000
1961,ﻭﻥﺏ,101,5000
1962,ﺏﻫﻕ,30,10500
1969,ﺍﻝﻭ,2,55000
1971,ﺡﺭﻡ,7777,50000
1972,ﻝﻥﺍ,5,25000
1976,ﻝﻯﻁ,14,16000
1978,ﻝﺱﻫ,46,15000
1979,ﻯﺡﻉ,8,30000
1989,ﻡﻝﻕ,50,5000
1996,ﺹﻉﺹ,8,30000
2000,ﻕﻝﺏ,797,15000
2004,ﻉﻉﺡ,65,35000
2006,ﻫﻕﺱ,90,5000
2009,ﺡﺭﺏ,7171,10000
